Object_ID,County,Municipality,GIS_Acres
16084,Atlantic,Buena Vista Township,0.37132917
16408,Atlantic,Buena Vista Township,0.25857737
17204,Atlantic,Buena Vista Township,0.36537116
17278,Atlantic,Buena Vista Township,0.26782016
17339,Atlantic,Buena Vista Township,0.25985408
17342,Atlantic,Buena Vista Township,0.37030695
17425,Atlantic,Buena Vista Township,0.25718862
17448,Atlantic,Buena Vista Township,0.33065589
17589,Atlantic,Buena Vista Township,0.34331715
17599,Atlantic,Buena Vista Township,0.38189242
17730,Atlantic,Buena Vista Township,0.26116768
17763,Atlantic,Buena Vista Township,6.65598674
17872,Atlantic,Buena Vista Township,0.28836833
17952,Atlantic,Buena Vista Township,0.50234797
18529,Atlantic,Buena Vista Township,0.46
18711,Atlantic,Buena Vista Township,0.74032415
18726,Atlantic,Buena Vista Township,0.27271499
19259,Atlantic,Buena Vista Township,0.4397216
19508,Atlantic,Buena Vista Township,2.77735779
19572,Atlantic,Buena Vista Township,0.38068032
19731,Atlantic,Buena Vista Township,0.27496722
20434,Atlantic,Buena Vista Township,0.24199057
25655,Atlantic,Buena Vista Township,4.91719712
27787,Atlantic,Buena Vista Township,13.92550573
28256,Atlantic,Buena Vista Township,0.26698996
28360,Atlantic,Buena Vista Township,0.26103422
29173,Atlantic,Buena Vista Township,10.27932766
29647,Atlantic,Buena Vista Township,0.24888076
29792,Atlantic,Buena Vista Township,23.2208171
29811,Atlantic,Buena Vista Township,0.26344953
29952,Atlantic,Buena Vista Township,0.58817043
29981,Atlantic,Buena Vista Township,0.27529168
30179,Atlantic,Buena Vista Township,0.46306666
30527,Atlantic,Buena Vista Township,5.699558
30605,Atlantic,Buena Vista Township,0.47843534
30835,Atlantic,Buena Vista Township,0.48004924
30952,Atlantic,Buena Vista Township,0.24595248
